host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,222.186.21.100,ssh,13,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-01 05:17:09<br/>2016-02-01 05:35:39<br/>2016-02-02 00:16:13<br/>2016-02-02 05:43:11<br/>2016-02-02 05:57:12<br/>2016-02-02 06:13:52<br/>2016-02-02 06:31:32<br/>2016-02-02 06:49:27<br/>2016-02-03 00:15:14<br/>2016-02-05 15:00:01<br/>2016-02-06 00:15:16<br/>2016-02-06 21:55:50<br/>2016-02-07 00:15:18<br/>
ns1,222.186.21.100,recidive,2,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-02 06:49:28<br/>2016-02-03 00:15:13<br/>
ns1,51.254.206.149,cgpro-sip-100,1,FR,unknown,unknown,48.860001,2.350000,2016-02-02 23:44:58<br/>
ns1,74.91.17.34,cgpro-sip-100,3,US,Missouri,Kansas City,39.147202,-94.573502,2016-02-01 21:12:52<br/>2016-02-03 01:23:32<br/>2016-02-05 12:10:45<br/>
ns1,209.239.123.96,cgpro-sip-100,3,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-02 03:16:09<br/>2016-02-03 13:58:51<br/>2016-02-04 18:57:30<br/>
ns1,212.129.26.221,ssh,2,FR,unknown,unknown,48.860001,2.350000,2016-02-03 16:49:46<br/>2016-02-04 00:16:15<br/>
ns1,172.93.106.70,cgpro-sip-100,9,US,unknown,unknown,38.000000,-97.000000,2016-01-31 10:17:35<br/>2016-02-01 07:43:51<br/>2016-02-02 05:28:07<br/>2016-02-03 09:31:12<br/>2016-02-04 23:05:01<br/>2016-02-05 07:16:47<br/>2016-02-06 03:45:07<br/>2016-02-06 19:01:00<br/>2016-02-07 01:09:46<br/>
ns1,222.122.192.217,ssh,2,KR,unknown,unknown,37.570000,126.980003,2016-02-02 08:12:02<br/>2016-02-03 00:15:14<br/>
ns1,5.189.191.154,cgpro-sip-100,1,DE,unknown,unknown,51.000000,9.000000,2016-02-03 04:21:42<br/>
ns1,195.154.181.113,cgpro-sip-100,1,FR,unknown,unknown,48.860001,2.350000,2016-01-31 19:01:52<br/>
ns1,69.50.207.179,cgpro-sip-100,2,US,Arizona,Phoenix,33.724800,-112.088898,2016-02-06 04:32:54<br/>2016-02-06 19:00:59<br/>
ns1,59.45.79.55,ssh,6,CN,Liaoning,Shenyang,41.792198,123.432800,2016-02-04 15:24:58<br/>2016-02-04 16:35:39<br/>2016-02-04 17:43:41<br/>2016-02-04 18:25:56<br/>2016-02-04 18:50:36<br/>2016-02-05 00:15:16<br/>
ns1,59.45.79.55,recidive,2,CN,Liaoning,Shenyang,41.792198,123.432800,2016-02-04 18:50:37<br/>2016-02-05 00:15:16<br/>
ns1,62.141.42.127,cgpro-sip-invite,2,DE,unknown,unknown,51.000000,9.000000,2016-02-01 17:19:38<br/>2016-02-02 01:21:27<br/>
